The AtB Light Condition Generator uses the first table to generate the light conditions, with the second table providing the percent of generating each condition.

Roll (1d10) | Light Condition
          1 | Day
          2 | Day
          3 | Day
          4 | Day
          5 | Day
          6 | Dusk
          7 | Dawn
          8 | Full Moon
          9 | Moonless Night
         10 | Pitch Black


Light Condition | Percentage
Day             | 50%
Dusk            | 10%
Dawn            | 10%
Full Moon       | 10%
Moonless Night  | 10%
Pitch Black     | 10%
